# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	4.453984e-11	3.529910e+02	-9.858529e-07	-4.928819e-07	-4.929710e-07
0.01          	-8.425365e-08	1.490125e+01	1.277305e-06	5.543988e-07	7.229061e-07
0.015         	-6.115472e-08	1.849590e+01	-3.313245e-07	-2.268170e-07	-1.045075e-07
0.02          	-7.949925e-08	1.538060e+01	1.214983e-06	5.279922e-07	6.869907e-07
0.025         	-8.603387e-08	1.336837e+01	7.636995e-07	2.958159e-07	4.678836e-07
0.03          	-8.729544e-08	1.188814e+01	6.708487e-07	2.481289e-07	4.227198e-07
0.035         	-8.558259e-08	1.077655e+01	6.274855e-07	2.281602e-07	3.993253e-07
0.04          	-8.232597e-08	9.919379e+00	5.712864e-07	2.033172e-07	3.679692e-07
0.045         	-1.842339e-08	9.241448e+00	6.798755e-07	3.215144e-07	3.583611e-07
0.05          	2.415273e-08	8.692558e+00	6.766502e-07	3.624778e-07	3.141724e-07
0.055         	5.231875e-08	8.238642e+00	6.585781e-07	3.816078e-07	2.769703e-07
0.06          	7.068058e-08	7.856199e+00	6.588308e-07	4.000960e-07	2.587348e-07
0.065         	8.230749e-08	7.528762e+00	6.439755e-07	4.042952e-07	2.396803e-07
0.07          	8.926813e-08	7.244503e+00	6.341031e-07	4.063197e-07	2.277834e-07
0.075         	9.298513e-08	6.994795e+00	6.272337e-07	4.066020e-07	2.206317e-07
0.08          	9.444513e-08	6.773204e+00	6.131309e-07	4.010106e-07	2.121203e-07
0.085         	9.433108e-08	6.574808e+00	6.011631e-07	3.949126e-07	2.062505e-07
0.09          	9.311880e-08	6.395861e+00	5.894958e-07	3.878667e-07	2.016291e-07
0.095         	9.115134e-08	6.233405e+00	5.835717e-07	3.829372e-07	2.006345e-07
0.1           	8.867417e-08	6.085099e+00	5.714230e-07	3.743857e-07	1.970373e-07
0.105         	8.586693e-08	5.949024e+00	5.562407e-07	3.639873e-07	1.922534e-07
0.11          	8.285647e-08	5.823551e+00	5.523676e-07	3.590403e-07	1.933273e-07
0.115         	7.972738e-08	5.707421e+00	5.395631e-07	3.495089e-07	1.900542e-07
0.12          	7.654956e-08	5.599560e+00	5.332103e-07	3.431547e-07	1.900556e-07
0.125         	7.336808e-08	5.499059e+00	5.220231e-07	3.343796e-07	1.876435e-07
0.13          	7.022230e-08	5.405149e+00	5.135945e-07	3.270195e-07	1.865749e-07
0.135         	6.714137e-08	5.317169e+00	5.048931e-07	3.195879e-07	1.853052e-07
0.14          	6.413704e-08	5.234483e+00	4.998085e-07	3.140413e-07	1.857672e-07
0.145         	6.121926e-08	5.156626e+00	4.863538e-07	3.043962e-07	1.819576e-07
0.15          	5.839488e-08	5.083182e+00	4.791859e-07	2.979878e-07	1.811981e-07
0.155         	5.566838e-08	5.013744e+00	4.732309e-07	2.922838e-07	1.809471e-07
0.16          	5.304045e-08	4.947976e+00	4.622737e-07	2.841773e-07	1.780964e-07
0.165         	5.051373e-08	4.885616e+00	4.539138e-07	2.774706e-07	1.764432e-07
0.17          	4.808902e-08	4.826345e+00	4.491701e-07	2.726741e-07	1.764960e-07
0.175         	4.576210e-08	4.769982e+00	4.450079e-07	2.682661e-07	1.767419e-07
0.18          	4.353162e-08	4.716235e+00	4.426264e-07	2.648448e-07	1.777816e-07
0.185         	4.139419e-08	4.664976e+00	4.326760e-07	2.577322e-07	1.749438e-07
0.19          	3.934526e-08	4.616022e+00	4.307456e-07	2.547181e-07	1.760275e-07
0.195         	7.176609e-08	4.569179e+00	3.544548e-07	2.489935e-07	1.054613e-07
0.2           	9.564047e-08	4.524360e+00	4.180940e-07	3.046875e-07	1.134065e-07
