# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.684176e+01 -4.886491e-08 2.877675e-26) (8.077948e-01 -4.277378e-10 -3.417796e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.791415e-18 -4.008689e-19 -3.697250e-18) (4.607994e-19 1.021616e-20 2.226996e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((1.488086e-01 6.392606e-08 -2.285757e-26) (5.962541e-01 -6.081794e-11 3.240701e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.622322e-20 -3.386389e-21 -3.965792e-19) (4.831843e-21 -1.064095e-20 -4.212682e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((4.522958e-01 -1.563878e-08 6.785740e-27) (4.724992e-01 -9.274481e-10 1.114479e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.818454e-20 -1.073979e-20 9.823742e-19) (1.355299e-20 -8.000114e-21 -3.057736e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((3.764624e-01 6.128293e-08 9.946597e-28) (3.925678e-01 -5.337805e-10 1.366217e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.009659e-20 -8.942119e-21 1.910508e-18) (1.146574e-20 -6.657062e-21 -3.974963e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((3.310491e-01 3.852865e-08 1.030814e-27) (3.373693e-01 -3.436730e-10 1.499448e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.524328e-20 -7.869019e-21 6.226001e-19) (1.018496e-20 -5.717496e-21 -4.301693e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((2.963946e-01 3.374979e-08 -1.987128e-28) (2.980125e-01 -2.073602e-10 1.609524e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.153842e-20 -7.050774e-21 -4.700109e-19) (9.184004e-21 -5.049360e-21 -4.364772e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((2.698015e-01 3.143392e-08 -7.063868e-28) (2.690258e-01 -5.964390e-11 1.699620e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.869408e-20 -6.423476e-21 4.166417e-20) (8.400382e-21 -4.558024e-21 -4.279129e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((2.489693e-01 2.845114e-08 -9.807741e-28) (2.469996e-01 1.131810e-10 1.774347e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.646500e-20 -5.932515e-21 7.165049e-19) (7.775990e-21 -4.185174e-21 -4.116299e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((2.323102e-01 3.307418e-08 5.160357e-27) (2.297621e-01 9.195945e-10 1.837118e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.468197e-20 -5.540389e-21 3.931297e-19) (7.269520e-21 -3.893690e-21 -9.211696e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((2.187242e-01 3.221344e-08 4.975289e-27) (2.159037e-01 1.619069e-09 1.890357e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.322668e-20 -5.220927e-21 -1.423732e-19) (6.851653e-21 -3.659511e-21 1.207636e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
